ZipCode,CountyName,City,State,Metro,RentalPrice1Bedroom,RentalPrice2Bedroom,RentalPrice3Bedroom,RentalPrice4Bedroom,RentalPrice5Bedroom,RentalPriceCondoCoop,RentalPriceDuplexTriplex,ListingPrice1Bedroom,ListingPrice2Bedroom,ListingPrice3Bedroom,ListingPrice4Bedroom,ListingPrice5Bedroom,ListingPriceCondoCoop,ListingPriceDuplexTriplex,_RegionName_,_RegionType_,HouseValueFoercast,RentalValueFoercast,PropertyTaxRate
98052,King County,Redmond,WA,Seattle-Tacoma-Bellevue,2.806907378,2.094637224,1.687116564,1.338943237,null,null,null,null,400.1067236,null,398.2236867,null,401.3990268,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98103,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.967721344,2.486825069,1.87802789,2.320621344,null,null,null,null,610.5919003,500,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98115,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.667146974,2.13740458,1.810606061,2.020046974,null,null,null,null,null,479.4644231,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98133,King County,Shoreline,WA,Seattle-Tacoma-Bellevue,2.111278195,1.86626506,1.654929577,1.464178195,null,null,null,null,null,389.7311828,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98122,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.292507205,3.133159664,2.445516111,2.645407205,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98034,King County,Kirkland,WA,Seattle-Tacoma-Bellevue,2.181002923,1.867672126,1.704100138,1.533902923,null,null,null,null,363.1016043,409.2746114,370.7745395,null,354.6476487,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98104,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.147604147,3.021295475,2.716204147,2.500504147,null,null,null,null,null,null,null,null,692.3076923,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98005,King County,Bellevue,WA,Seattle-Tacoma-Bellevue,2.402912621,1.979166667,1.971512621,1.755812621,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98119,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.894669451,2.560390358,2.463269451,2.247569451,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98007,King County,Bellevue,WA,Seattle-Tacoma-Bellevue,2.878590078,2.662890078,2.447190078,2.231490078,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
